user_nicename	display_name first_name	last_name	nickname	user_url	description	user_avatar	oa_social_login_user_picture	avatar	avatar_url
yehuda-ashlag		Ashlag	yehuda.ashlag	https://en.wikipedia.org/wiki/Yehuda_Ashlag	"Rabbi Yehuda Leib Ha-Levi Ashlag (1885–1954, Hebrew: רַבִּי יְהוּדָה לֵיבּ הַלֵּוִי אַשְׁלַג‎‎), also known as the <em>Baal Ha-Sulam</em> (Hebrew: בַּעַל הַסּוּלָם‎‎, ""Author of the Ladder"") in reference to his magnum opus, was an rabbi and kabbalist born in Łódź, Congress Poland, Russian Empire, to a family of scholars connected to the Ḥasidic courts of Porisov and Belz. Rabbi Ashlag lived in <em>erets Yisrael</em> from 1922 until his death in 1954 (except for two years in England). In addition to his Sulam commentary on the Zohar, his other primary work, <em>Talmud Eser Sefirot</em> is regarded as the central textbook for students of Kabbalah. Ashlag systematically interpreted the wisdom of Kabbalah and promoted its wide dissemination. In line with his directives, many contemporary adherents of Ashlag’s teachings strive to spread Kabbalah to the masses. (adapted from his article<a href=""https://en.wikipedia.org/wiki/Yehuda_Ashlag"">wikipedia</a>)"				
assemblea-dei-rabbini-ditalia		Assemblea Dei Rabbini D'Italia	assemblea-dei-rabbini-ditalia		The Assemblea Dei Rabbini D'Italia is an association of Orthodox rabbis in Italy.				
assembly-of-jewish-notables		Assembly of Jewish Notables	assembly-of-jewish-notables		The Assembly of Jewish Notables was a convocation of rabbis and Jewish communal leaders from the communities situated in the territories of the French Empire and the Kingdom of Italy convened by a decree of Napoleon Bonaparte, issued in May 1806 to clarify the relations between the Napoleonic state and the Jews. After meeting that summer, the Assembly convened the Grand Sanhedrin in 1807 to discuss and issue decisions on questions put to them by Napoleon. The Assembly and the Grand Sanhedrin officially dissolved in 1808 with the creation of the Consistoire central israélite de France.				
jeffrey-astrachan		Astrachan	jeffrey.astrachan		Jeffrey Astrachan is rabbi of Temple Beth Israel, York, Pennsylvania.				
gershon-avtzon		Avtzon	gershon.avtzon	https://www.ylcincinnati.com/staff	Rabbi Gershon Avtzon is the founder and Rosh Yeshivah of the Yeshivas Lubavitch Cincinnati.				
elazar-ben-moshe-azikri		Azikri	elazar-ben-moshe.azikri	https://en.wikipedia.org/wiki/Elazar_ben_Moshe_Azikri	"Rabbi Elazar ben Moshe Azikri (אלעזר בן משה אזכרי‎‎‎, also Elazar Azkari) (1533–1600) was a Jewish kabbalist, poet and writer, born in Safed to a Sephardic family who had settled in the Land of Israel after the expulsion from Spain. Rabbi Elazar studied Torah under Rabbi Yosef Sagis and Rabbi Jacob Berab, and is counted with the greatest Rabbis and intellectuals of his time: Shlomo Halevi Alkabetz, Yosef Karo, Moshe Cordovero, Isaac Luria, Israel Najara, etc. In 1588 Rabbi Elazar founded the ""Sukat Shalom"" movement who acted to arouse in Jews the devotion to religion. Rabbi Elazar died in 1600 and was buried in Safed. Rabbi Elazar's Book, the Sefer Ḥaredim (ספר חרדים), printed after his death in 1600, is considered as one of the main books of Jewish deontology. The famous piyyut (liturgical poem) Yedid Nefesh (ידיד נפש) was first published by Rabbi Elazar in Sefer Ḥaredim.  He also wrote a commentary on Tractate Bezah  and Berachot of the Jerusalem Talmud. (via <a href=""https://en.wikipedia.org/wiki/Elazar_ben_Moshe_Azikri"">wikipedia</a>)"				
gershon-b		B	Gershon-b						
stephen-baars		Baars	stephen.baars	https://www.aish.com/authors/48865362.html	Rabbi Stephen Baars is a Jewish educator, motivational speaker, and marriage counselor. Born and educated in London, Rabbi Baars did nine years of post-graduate studies at the Aish HaTorah Rabbinical College in Jerusalem and studied improvisational comedy at UCLA.				
isaac-seligman-baer		Baer	isaac-seligman.baer		Seligman (Isaac) Baer was a masoretic scholar, and an editor of the Hebrew Bible and of Jewish liturgy. He was born in Mosbach, the northern district of Biebrich, Sept. 18, 1825 and died at Biebrich-on-the-Rhine, March, 1897. He belonged to the school of Wolf Heidenheim, and had in his possession some of Heidenheim's original manuscripts and personal copies of his published works with handwritten marginal notes. Baer's monumental edition of the Jewish prayerbook according to the Ashkenazic rite, Seder Avodat Yisrael (Rödelheim, 1868), accompanied by a critical commentary, became the authoritative model for numerous editions published subsequently in the 20th century. His editions of the Jewish liturgy also include Kinnot for the fast of the ninth of Av. He never occupied an academic position, but was content with the office of Hebrew teacher to the Jewish community of Biebrich. In recognition of his services to the Commission for the History of the Jews in Germany, the honorary degree of doctor of philosophy was conferred upon him by the University of Leipzig.			http://opensiddur.org/wp-content/avatars/isaac-seligman.baer.jpg	
zvi-eli-baker		Baker	zvi-eli.baker	https://he.wikipedia.org/wiki/צבי_עלי_בקר	Zvi Eli Baker (born Henry E. Baker; 1908-1994) was a Scottish-born Israeli jurist, Deputy Attorney General and Supreme Court Judge. He helped draft the Israeli Declaration of Independence .				
milton-balkany		Balkany	milton.balkany	https://en.wikipedia.org/wiki/Milton_Balkany	"Milton Yehoshua Balkany (born 1946) is an American Orthodox Jewish rabbi, past director of the Jewish girls′ school Bais Yaakov of Midwood, conservative political activist and fundraiser from Brooklyn, New York, dubbed ""the Brooklyn Bundler."" In September 1960, Balkany founded Bais Yaakov of Brooklyn, now Bais Yaakov of Midwood, a strictly orthodox girls′ school in Borough Park, and served as its dean. A conservative Republican, he has been active in political fundraising since the early 1980s, mainly for Republican politicians, and has also often acted as a lobbyist for various Jewish causes. Dubbed ""the Brooklyn Bundler,"" he had a reputation as someone who had access not only to elected officials but to several government agencies as well. For several years, he gave the invocation at an annual dinner honoring President Ronald Reagan, and was offered to become the rabbi chaplain of the Senate, an offer he declined. In 1994, Balkany tried to have David Luchins, an Orthodox Jew, official of the Orthodox Union, self-described liberal, and then aide to Senator Daniel Moynihan excommunicated by a Jewish religious court, blaming him for having ""caused yeshivas in the land of Israel to lose money."" He became widely known for giving public religious benedictions (brakhot) to senior politicians at city council, state legislature, and Congress, where he served as guest chaplain in June 2003, opening the U.S. Senate and the U.S. House of Representatives with the prayer ""I stand here today among the jewels of our nation, men and women who are precious, who radiate dedication, and they have been selected as the leaders of our land."" He is the son-in-law of Aaron Rubashkin."				
shmuel-bar-abba		bar Abba	shmuel.bar-abba	https://en.wikipedia.org/wiki/Samuel_of_Nehardea	"Shmuel of Nehardea or Shmuel bar Abba (Hebrew: שמואל or שמואל ירחינאה) was a Jewish Talmudist who lived in Babylonia, known as an Amora of the first generation; son of Abba bar Abba and head of the Yeshiva at Nehardea. He was a teacher of halakha, judge, physician, and astronomer. He was born about 165 CE at Nehardea, in Babylonia and died there in 254 CE. As in the case of many other great men, a number of legendary stories are connected with his birth (comp. Halakhot Gedolot, Giṭṭin, end; Tosefta Ḳiddushin 73a s.v. Mai Ikka). In Talmudic texts, Shmuel is frequently associated with Abba Arikha, with whom he debated on many major issues. He was the teacher of Rabbi Yehudah ben Yeḥezkel. From the little biographical information gleaned from the Talmud, we know that Shmuel was never ordained as a Tanna, that he was very precise with his words (Kiddushin 70a), and that he had a special affinity for astronomy: one of his best known sayings was that ""The paths of heaven are as clear to me as the pathways of Nehardea."""				
abba-bar-aybo		bar Aybo	Abba (Arikha) bar Aybo (traditional attribution)	https://en.wikipedia.org/wiki/Abba_Arika	Abba Arikha (175–247) (Talmudic Aramaic: אבא אריכא; born: Abba bar Aybo, Hebrew: רב אבא בר איבו‬) was a sage who was born and lived in Kafri, Sassanid Babylonia, known as an amora (commentator on the Oral Law) of the 3rd century who established at Sura the systematic study of the rabbinic traditions, which, using the Mishnah as text, led to the compilation of the Talmud. With him began the long period of ascendancy of the great academies of Babylonia, around the year 220. He is commonly known simply as Rav (or Raḅ, Hebrew: רב‬).				
avraham-ben-menahem		bar Menaḥem	avraham.bar-menahem		"Avraham bar Menaḥem was a paytan of the 13th century. If you know more about him, please <a href=""/contact/"">contact us</a>."				
shimon-bar-nissim		bar Nissim	shimon.bar-nissim		"Rabbi Shimon bar Nissim (also ben Nissim, fl. 19th-20th c.) was an Iraqi emigre to the Land of Israel. Composer of the popular wedding piyyut, Ma Navu Alei, little else is known of him. If you know more, please <a href=""/contact/"">contact us</a>."				
daniel-bar-sadeh-weise		Bar Sadeh-Weise	Daniel Bar Sadeh-Weise (transcription)		Daniel Bar Sadeh-Weise, from Jerusalem, was born in 1984 in Gemany, grew up in Greece, and made Aliyah to Israel to study in Yeshivah. He is of a mixed Ashkenazi and Sefaradi background and speaks seven languages.				
